activity,trial,subject,n_samples,duration_s,fs_hz_assumed,has_timestamp_column,timestamp_irregularities_detectable,index_column,index_contiguous,index_step_min,index_step_max,index_gaps,n_nan,n_inf,n_duplicate_rows,gravity_mag_mean,gravity_mag_std,gravity_mag_min,gravity_mag_max,user_accel_rms_g,rotation_rate_rms_rad_s,longest_flatline_samples,longest_flatline_s,flatline_suspect,yaw_wraps,problems,clean
jog,9,1,4861,97.22,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999999981012366,2.9194033814537887e-07,0.9999992573957242,1.0000007412327252,1.6208470548271023,4.656674669708415,1,0.02,False,94,,True
jog,9,2,4966,99.32,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999960537763456,3.1582814819471975e-06,0.9999820000125003,1.000000764302708,1.7438373686593793,3.678211334800922,1,0.02,False,0,,True
jog,9,3,4753,95.06,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.999997647606538,1.950038457918533e-06,0.9999910992753887,1.0000006457262915,1.3372322565415833,2.3801225360167044,1,0.02,False,176,,True
jog,9,4,5294,105.88,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999963536299247,3.0217142930552916e-06,0.9999825613569469,1.000000913326583,1.8048840586789126,4.770187494615663,1,0.02,False,212,,True
jog,9,5,3558,71.16,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.999992733308976,5.1365327609485915e-06,0.999978406392358,1.0000006276978028,1.2173819013742484,3.0549082784798767,1,0.02,False,84,,True
jog,9,6,4343,86.86,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999967753301868,1.9733824878984573e-06,0.9999906391991877,1.0000005791488322,2.111468223916938,3.719304317555534,1,0.02,False,160,,True
jog,9,7,4549,90.98,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999975112858026,1.5518894756226115e-06,0.999992027801722,1.0000006317698005,1.458848426641734,2.9060430186867947,1,0.02,False,48,,True
jog,9,8,4247,84.94,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999818922841851,1.0491777455444639e-05,0.9999602696212485,0.999999090033586,1.1416312558568489,2.001282264332313,1,0.02,False,1,,True
jog,9,9,3847,76.94,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999958538244175,3.6681611458957863e-06,0.9999855805825401,1.0000006671892776,2.0541766018786998,4.705098483102623,1,0.02,False,82,,True
jog,9,10,4397,87.94,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999948203806706,3.618395787444834e-06,0.9999838230101525,1.0000007001267548,1.72094134262839,4.171095836156074,1,0.02,False,2,,True
jog,9,11,3284,65.68,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999976724282229,1.7683089018922112e-06,0.9999910595950345,1.0000005770788334,2.101186437819453,4.687071123315458,1,0.02,False,148,,True
jog,9,12,4534,90.68,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999964409990212,2.041496441289882e-06,0.9999895344982366,1.0000005471893503,1.84722754633915,4.464711762963615,1,0.02,False,132,,True
jog,9,13,3414,68.28,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999972317500806,2.2958756296499965e-06,0.9999894592589464,1.0000006908062613,1.7898112857440565,3.881615602436542,1,0.02,False,84,,True
jog,9,14,3896,77.92,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999948490447664,2.342764440587039e-06,0.9999854815631075,0.9999996286529311,1.979428450592744,4.773171287514128,1,0.02,False,68,,True
jog,9,15,3974,79.48,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999939700842346,4.179008384875302e-06,0.9999803489309177,1.00000054788235,1.7525211257427693,4.366342928628603,1,0.02,False,117,,True
jog,9,16,4814,96.28,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999869306842676,5.178420807136716e-06,0.9999678161485999,0.9999952711298189,1.6555799122814405,3.169092840921379,1,0.02,False,145,,True
jog,9,17,3377,67.54,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999933797363119,3.559001950321146e-06,0.9999837435693641,1.0000004364024047,2.318714171584932,5.384545158279305,1,0.02,False,89,,True
jog,9,18,4856,97.12,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999968628458096,2.7056816178607577e-06,0.9999867724375158,1.0000007227442387,1.1863581370916736,2.155131237403128,1,0.02,False,0,,True
jog,9,19,5214,104.28,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999982716197588,1.208072067041684e-06,0.9999943261509038,1.0000007048567516,1.089982381217309,2.3147671050303007,1,0.02,False,197,,True
jog,9,20,4143,82.86,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999886569802975,8.87126702792817e-06,0.9999689284492793,1.0000006660747782,1.7379944949286896,3.6996195944366956,1,0.02,False,67,,True
jog,9,21,5535,110.7,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999952152789786,5.3184747084431475e-06,0.9999783016230901,1.0000006520347873,1.5784056057096951,4.279715112361348,1,0.02,False,92,,True
jog,9,22,4813,96.26,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999910153176433,5.25325681390472e-06,0.999977407173282,0.9999995525968999,1.4588474248250067,3.406193296914303,1,0.02,False,52,,True
jog,9,23,4815,96.3,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,1.0000000053784752,2.878540526704899e-07,0.999999315976766,1.0000007075002497,1.695842241874263,4.210509388022965,1,0.02,False,83,,True
jog,9,24,2843,56.86,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999999853833507,2.8978517389478545e-07,0.9999992451747152,1.0000007118207466,2.5256852089385724,5.780477721077588,1,0.02,False,41,,True
jog,16,1,1567,31.34,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,1.0000000028980334,2.8440633991410234e-07,0.9999992560562233,1.0000007505147184,1.5685924047759172,4.3708654931578765,1,0.02,False,0,,True
jog,16,2,1452,29.04,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999969910809802,1.4009881985701141e-06,0.9999929422095938,0.99999957590091,1.835597739488937,3.9084008021572583,1,0.02,False,0,,True
jog,16,3,1216,24.32,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999913007795301,1.7854079727584881e-06,0.9999848990959813,0.9999953616552428,1.2712669867578055,2.2744546040154634,1,0.02,False,43,,True
jog,16,4,921,18.42,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999987691989869,8.591115123786635e-07,0.9999957006842579,1.0000005566533452,1.8068827412989756,4.425056442165344,1,0.02,False,18,,True
jog,16,5,765,15.3,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999964561134892,1.7118493023243801e-06,0.9999923517012519,0.999999420522332,1.278795818997302,3.140366608034729,1,0.02,False,18,,True
jog,16,6,929,18.58,50.0,False,False,Unnamed: 0,True,1,1,0,0,0,0,0.9999966665320382,1.8314021269853732e-06,0.9999914249362342,0.9999998811024929,2.0468744290531284,3.515160469006377,1,0.02,False,26,,True
